university,program,rating,period_of_study,Start_of_studies,Diploma,language,Total_costs,location,program_link
LMU - University of Munich,Philosophy (MA),3.9,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/philosophie/lmu-muenchen-1086
LMU - University of Munich,"Philosophy / Ethics (State Examination)
                                                            Teaching",,7 semesters,Summer & winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/philosophie/lmu-muenchen-26648
LMU - University of Munich,"Philosophy, Politics and Economics (MA)",,4 semesters,Winter semester,Master of Arts,German,"21,000 €¹",Munich,https://www.studycheck.de/studium/philosophie-politik-und-wirtschaft/lmu-muenchen-5849
LMU - University of Munich,Phonetics and Speech Processing (BA),3.8,6 semesters,Winter semester,Bachelor of Arts,German English,,Munich,https://www.studycheck.de/studium/phonetik/lmu-muenchen-4827
LMU - University of Munich,Phonetik und Sprachverarbeitung (M.A.),,,,,,,,https://www.studycheck.de/studium/phonetik/lmu-muenchen-10624
LMU - University of Munich,Phonetics and Speech Processing with Minor (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/phonetik/lmu-muenchen-26592
LMU - University of Munich,Physics (M.Sc.),3.9,4 semesters,Summer & winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/physik/lmu-muenchen-8714
LMU - University of Munich,Physics (Bachelor),4.0,,Winter semester,Bachelor,German English,,Munich,https://www.studycheck.de/studium/physik/lmu-muenchen-14843
LMU - University of Munich,"Physik (Staatsexamen)
                                                            Lehramt",,,,,,,,https://www.studycheck.de/studium/physik/lmu-muenchen-26649
LMU - University of Munich,Plant Sciences (M.Sc.),,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/pflanzenwissenschaften/lmu-muenchen-25016
LMU - University of Munich,"Politics and Society (State Examination)
                                                            Teaching",3.6,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/politik-und-gesellschaft/lmu-muenchen-26650
LMU - University of Munich,Political Science (Bachelor),3.8,,Winter semester,Bachelor,German English,,Munich,https://www.studycheck.de/studium/politikwissenschaft/lmu-muenchen-390
LMU - University of Munich,Political Science (MA),3.4,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/politikwissenschaft/lmu-muenchen-10219
LMU - University of Munich,Polish (state examination),,7 semesters,Summer & winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/polnisch/lmu-muenchen-26651
LMU - University of Munich,"Prevention, Inclusion and Rehabilitation (PIR) - Deaf Education (M.Sc.)
                                                            Teaching",,4 semesters,Winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/praevention-integration-und-rehabilitation-bei-hoerschaedigung/lmu-muenchen-19796
LMU - University of Munich,"Prävention, Inklusion und Rehabilitation (PIR) - Schwerhörigenpädagogik (M.Sc.)",,,,,,,,https://www.studycheck.de/studium/praevention-integration-und-rehabilitation-bei-hoerschaedigung/lmu-muenchen-10202
LMU - University of Munich,"Prevention, inclusion and rehabilitation in hearing impairment (B.Sc.)",3.7,6 semesters,Winter semester,Bachelor of Science,German,,Munich,https://www.studycheck.de/studium/praevention-integration-und-rehabilitation-bei-hoerschaedigung/lmu-muenchen-4275
LMU - University of Munich,Provincial Roman Archaeology (MA),4.6,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/roemische-archaeologie/lmu-muenchen-238
LMU - University of Munich,Psychology (B.Sc.),3.8,,Winter semester,Bachelor of Science,German English,,Munich,https://www.studycheck.de/studium/psychologie/lmu-muenchen-12191
LMU - University of Munich,Psychology: Clinical Psychology and Cognitive Neuroscience (M.Sc.),3.9,4 semesters,Winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/klinische-psychologie/lmu-muenchen-10200
LMU - University of Munich,Psychology: Clinical Psychology and Psychotherapy (M.Sc.),,4 semesters,Winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/psychologie/lmu-muenchen-32795
LMU - University of Munich,"Psychology: Economic, Organizational and Social Psychology (M.Sc.)",4.0,4 semesters,Winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/wirtschafts-organisations-und-sozialpsychologie/lmu-muenchen-10201
LMU - University of Munich,Psychology: Learning Sciences (M.Sc.),3.5,,,,,,,https://www.studycheck.de/studium/learning-sciences/lmu-muenchen-10208
LMU - University of Munich,Public Health (M.Sc.),3.8,,Winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/public-health/lmu-muenchen-7848
LMU - University of Munich,Quantitative Economics (M.Sc.),4.4,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/quantitative-economics/lmu-muenchen-25032
LMU - University of Munich,Law (LL.M.),3.6,2 semesters,Winter semester,Master of Laws,German,,Munich,https://www.studycheck.de/studium/rechtswissenschaft/lmu-muenchen-19798
LMU - University of Munich,Law (State Examination),3.8,10 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/rechtswissenschaft/lmu-muenchen-854
LMU - University of Munich,Law (Magister Legum) (LL.M.),3.5,2 semesters,Winter semester,Master of Laws,German,,Munich,https://www.studycheck.de/studium/rechtswissenschaft/lmu-muenchen-26662
LMU - University of Munich,Law (Bachelor),3.8,6 semesters,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/rechtswissenschaft/lmu-muenchen-23463
LMU - University of Munich,Religion and Philosophy in Asia (MA),,4 semesters,Winter semester,Master of Arts,German English,,Munich,https://www.studycheck.de/studium/religion-und-philosophie-in-asien/lmu-muenchen-10608
LMU - University of Munich,Religious and Cultural Studies (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/religions-und-kulturwissenschaft/lmu-muenchen-10600
LMU - University of Munich,Religious Studies (BA),3.7,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/religionswissenschaft/lmu-muenchen-4732
LMU - University of Munich,Romance Studies (BA),3.9,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/romanistik/lmu-muenchen-4771
LMU - University of Munich,Romance Studies (MA),4.3,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/romanistik/lmu-muenchen-1087
LMU - University of Munich,"Russian (State Examination)
                                                            Teaching",,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/russisch/lmu-muenchen-26652
LMU - University of Munich,"School Psychology (State Examination)
                                                            Teaching",4.0,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/schulpsychologie/lmu-muenchen-26653
LMU - University of Munich,"Education for the Hard of Hearing (State Examination)
                                                            Teaching",,7 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/sonderpaedagogik/lmu-muenchen-26654
LMU - University of Munich,Sinology (Bachelor),4.2,,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/sinologie/lmu-muenchen-4729
LMU - University of Munich,Sinologie (M.A.),,,,,,,,https://www.studycheck.de/studium/sinologie/lmu-muenchen-10609
LMU - University of Munich,Scandinavian Studies (Bachelor),3.9,,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/skandinavistik/lmu-muenchen-4796
LMU - University of Munich,Scandinavian Studies (MA),4.6,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/skandinavistik/lmu-muenchen-10625
LMU - University of Munich,Slavic Studies (BA),4.3,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/slawistik/lmu-muenchen-4795
LMU - University of Munich,Slavistik (M.A.),,,,,,,,https://www.studycheck.de/studium/slawistik/lmu-muenchen-10626
LMU - University of Munich,Sociology (Bachelor),3.7,,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/soziologie/lmu-muenchen-15082
LMU - University of Munich,Sociology (MA),3.4,,Winter semester,Master of Arts,German English,,Munich,https://www.studycheck.de/studium/soziologie/lmu-muenchen-10220
LMU - University of Munich,"Spanish (State Examination)
                                                            Teaching",3.8,9 semesters,Summer & winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/spanisch/lmu-muenchen-26655
LMU - University of Munich,Spätantike und Byzantinische Kunstgeschichte (M.A.),,,,,,,,https://www.studycheck.de/studium/kunstgeschichte/lmu-muenchen-23466
LMU - University of Munich,"Language, Literature, Culture (Bachelor)",4.3,6 semesters,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/sprachwissenschaft/lmu-muenchen-22140
LMU - University of Munich,"Speech therapy (state examination)
                                                            Teaching",,,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/sonderpaedagogik/lmu-muenchen-21884
LMU - University of Munich,Speech Therapy (BA),3.6,6 semesters,Winter semester,Bachelor of Arts,German,,Munich,https://www.studycheck.de/studium/sprachtherapie/lmu-muenchen-2988
LMU - University of Munich,Speech therapy (MA),4.3,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/sprachtherapie/lmu-muenchen-11725
LMU - University of Munich,Statistics and Data Science (M.Sc.),4.3,4 semesters,Summer & winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/statistik/lmu-muenchen-26595
LMU - University of Munich,Statistics and Data Science (B.Sc.),3.7,,Winter semester,Bachelor of Science,German,,Munich,https://www.studycheck.de/studium/statistik/lmu-muenchen-2141
LMU - University of Munich,Theatre Research and Cultural Practice (MA),4.9,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/theaterwissenschaft/lmu-muenchen-25031
LMU - University of Munich,Theatre Studies (BA),4.1,6 semesters,Winter semester,Bachelor of Arts,German English,,Munich,https://www.studycheck.de/studium/theaterwissenschaft/lmu-muenchen-4736
LMU - University of Munich,Theoretical and Mathematical Physics (M.Sc.),4.8,4 semesters,Winter semester,Master of Science,English,,Munich,https://www.studycheck.de/studium/theoretische-physik/lmu-muenchen-7103
LMU - University of Munich,Theoretical Philosophy (MA),,4 semesters,Winter semester,Master of Arts,German,,Munich,https://www.studycheck.de/studium/philosophie/lmu-muenchen-10664
LMU - University of Munich,Theoretical Physics (Bachelor),,6 semesters,Winter semester,Bachelor,German,,Munich,https://www.studycheck.de/studium/theoretische-physik/lmu-muenchen-23462
LMU - University of Munich,Veterinary Medicine (State Examination),3.5,11 semesters,Winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/tiermedizin-veterinaermedizin/lmu-muenchen-1650
LMU - University of Munich,"Czech (state examination)
                                                            Teaching",,7 semesters,Summer & winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/tschechisch/lmu-muenchen-26657
LMU - University of Munich,"Turkish (state examination)
                                                            Teaching",,7 semesters,Summer & winter semester,State examination,German,,Munich,https://www.studycheck.de/studium/tuerkisch/lmu-muenchen-26658
LMU - University of Munich,"Environmental Systems and Sustainability - Monitoring, Modelling and Management (M.Sc.)",4.0,4 semesters,Winter semester,Master of Science,German,,Munich,https://www.studycheck.de/studium/umweltwissenschaften/lmu-muenchen-8675
LMU - University of Munich,Vergleichende Indoeuropäische Sprachwissenschaft (M.A.),,,,,,,,https://www.studycheck.de/studium/sprachwissenschaft/lmu-muenchen-10627
